,sa1,sa2,sa3,sa4,sa5,sa6,sa7,sa8,sa9,sa10,sa11,sa12,sa13,sa14,sa15,sa16,sa17,sa18,sa19,sa20,sa21,sa22,sa23,sa24,sa25,sa26,sa27,sa28,sa29,sa30,sa31,sa32,sa33,sa34,sa35,sa36,sa37,sa38,sa39,sa40,sa41,sa42,sa43,sa44,sa45,sa46,sa47,sa48,sa49,sa50,sa51,sa52,sa53,sa54,sa55,sa56,sa57,sa58,sa59,sa60,sa61,sa62,sa63,sa64,sa65,sa66,sa67,sa68,sa69,sa70,sa71,sa72,sa73,sa74,sa75,sa76,sa77,sa78,sa79,sa80,sa81,sa82,sa83,sa84,sa85,sa86,sa87,sa88,sa89,sa90,sa91,sa92,sa93,sa94,sa95,sa96,sa97,sa98,sa99,sa100,sa101,sa102,sa103,sa104,sa105,sa106,sa107,sa108
ASV_21,0,0,0,0,0,0,24,0,13,64,42,55,42,0,105,458,618,316,0,0,4,0,0,6,5,0,6,0,0,0,0,0,0,0,0,0,0,0,19,15,9,20,5,25,0,14,67,50,122,121,149,66,64,1015,1189,449,524,595,1514,1273,1146,1313,1578,533,1327,1098,1522,1133,755,804,567,719,601,1576,796,958,1300,1440,0,0,0,0,0,0,0,0,33,0,187,236,152,84,136,85,97,46,45,90,70,120,79,89,74,0,133,181,225,104
ASV_22,0,0,0,0,0,0,0,0,4,10,50,17,293,67,526,703,125,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,4,0,0,0,10,14,14,32,0,0,17,66,10,200,242,581,340,214,461,956,533,635,621,2012,982,1154,800,1346,611,1297,1884,3570,1326
ASV_23,0,0,0,0,0,76,0,0,0,0,51,0,64,0,94,87,110,193,252,212,187,71,214,92,162,133,95,218,64,70,0,0,50,0,0,0,0,0,81,37,37,140,0,237,75,119,103,235,344,332,272,297,272,550,498,814,270,399,643,725,247,635,303,247,403,344,410,302,566,380,487,96,450,429,509,269,706,654,62,61,79,122,108,77,181,219,205,121,267,214,218,283,244,219,230,121,137,160,255,80,101,157,229,55,88,695,622,76
ASV_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,0,97,31,79,74,43,535,1040,353,317,697,220,302,426,663,53,1398,1318,779,1601,1066,376,135,1414,92,28,22,12,32,32,33,30,54,105,56,66,303,342,344,113,111,247,370,171,111,148,434,104,92,76,244,99,377,140,746,1255
ASV_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,214,407,75,829,475,605,614,687,645,422,471,250,228,173,650,546,383,413,454,1066,513,448,1005,498,629,263,174,589,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_26,22,23,31,95,45,43,80,67,167,175,83,152,173,173,171,204,202,51,13,18,11,0,25,28,20,0,80,22,31,0,71,30,18,14,24,26,70,21,0,13,17,0,25,36,33,41,28,56,710,485,971,613,713,50,337,357,172,477,140,201,140,233,144,39,111,58,42,183,49,54,73,63,73,97,211,40,132,96,61,0,105,179,105,111,106,235,176,80,121,142,146,103,118,107,73,169,94,245,72,97,157,235,89,25,0,174,37,105
ASV_27,12,0,6,8,9,6,0,0,11,13,0,12,23,43,0,234,154,84,126,144,156,44,110,34,65,48,73,80,41,45,18,25,28,17,0,44,22,16,17,13,16,19,0,218,37,211,0,208,179,67,130,128,121,231,240,316,213,346,285,448,214,360,296,135,283,99,178,151,94,100,98,139,126,690,525,120,540,1032,15,0,14,11,13,15,0,20,19,12,61,61,66,47,80,59,61,42,74,162,122,218,164,241,87,32,116,359,413,86
ASV_28,8,0,0,6,3,0,0,0,0,0,0,0,11,17,13,91,81,44,169,154,268,53,170,72,62,70,120,82,54,61,32,35,31,17,34,19,14,6,0,4,0,11,11,0,22,33,16,34,230,117,170,154,129,477,1093,390,439,791,313,379,273,247,427,161,291,190,265,133,205,162,163,245,145,449,651,441,316,585,11,9,11,17,15,7,8,13,23,8,41,50,42,18,34,31,34,34,9,36,35,30,25,26,53,20,48,219,81,22
ASV_29,24,12,8,37,20,35,10,0,0,14,16,12,5,4,0,41,96,35,45,19,17,0,25,0,0,0,28,40,24,12,10,0,0,8,0,0,0,0,0,0,0,0,0,3,4,3,0,14,170,86,140,83,119,387,779,360,475,302,330,262,210,301,565,98,262,241,474,143,153,197,78,567,133,146,91,263,103,167,9,6,13,7,16,0,0,26,23,9,53,38,34,19,18,0,0,21,12,14,17,10,0,9,10,6,0,24,43,0
ASV_30,0,8,0,0,0,0,0,0,0,0,0,0,78,22,63,297,170,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,49,0,56,0,0,0,150,0,0,23,16,9,0,29,19,59,62,75,26,289,395,290,159,222,106,166,148,138,181,139,163,115,96,171,128,397,430,521,181
